repeat,variant,fork_mode,stage,role,process_index,threads,rss_kb,pss_kb,uss_kb,proportional_shared_kb,pss_anon_kb,pss_file_kb,private_clean_kb,private_dirty_kb,shared_clean_kb,shared_dirty_kb,minor_faults,major_faults
1,native,lazy,forked,worker,2,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,3,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,4,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,5,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,6,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,7,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7943,0
1,native,lazy,forked,worker,8,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,9,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,10,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,11,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,12,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,13,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,14,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,15,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,forked,worker,16,1,48576,30912,29988,924,30117,783,0,29988,16256,2332,7942,0
1,native,lazy,warmed,master,0,1,21060,8863,8036,827,5242,1742,1112,6924,10636,2388,2897,0
1,native,lazy,warmed,worker,1,1,66600,43037,41844,1193,41942,1080,24,41820,22488,2268,11072,0
1,native,lazy,warmed,worker,2,1,66780,43026,41820,1206,41942,1069,0,41820,22692,2268,11067,0
1,native,lazy,warmed,worker,3,1,66752,43033,41828,1205,41942,1076,8,41820,22656,2268,11065,0
1,native,lazy,warmed,worker,4,1,66604,43014,41820,1194,41942,1057,0,41820,22516,2268,11068,0
1,native,lazy,warmed,worker,5,1,66768,43025,41820,1205,41942,1068,0,41820,22680,2268,11066,0
1,native,lazy,warmed,worker,6,1,66776,43025,41820,1205,41942,1068,0,41820,22688,2268,11062,0
1,native,lazy,warmed,worker,7,1,66724,43022,41820,1202,41942,1065,0,41820,22636,2268,11068,0
1,native,lazy,warmed,worker,8,1,66780,43026,41820,1206,41942,1069,0,41820,22692,2268,11061,0
1,native,lazy,warmed,worker,9,1,66780,43026,41820,1206,41942,1069,0,41820,22692,2268,11061,0
1,native,lazy,warmed,worker,10,1,66776,43025,41820,1205,41942,1068,0,41820,22688,2268,11062,0
1,native,lazy,warmed,worker,11,1,66640,43018,41820,1198,41942,1061,0,41820,22552,2268,11071,0
1,native,lazy,warmed,worker,12,1,66768,43025,41820,1205,41942,1068,0,41820,22680,2268,11068,0
1,native,lazy,warmed,worker,13,1,66780,43026,41820,1206,41942,1069,0,41820,22692,2268,11061,0
1,native,lazy,warmed,worker,14,1,66660,43018,41820,1198,41942,1061,0,41820,22572,2268,11070,0
1,native,lazy,warmed,worker,15,1,66784,43030,41824,1206,41946,1069,0,41824,22692,2268,11062,0
1,native,lazy,warmed,worker,16,1,66776,43025,41820,1205,41942,1068,0,41820,22688,2268,11061,0
1,native,lazy,after_equal_work,master,0,1,21060,8864,8036,828,5242,1743,1112,6924,10636,2388,2897,0
1,native,lazy,after_equal_work,worker,1,1,112228,88665,87472,1193,87570,1080,24,87448,22488,2268,22479,0
1,native,lazy,after_equal_work,worker,2,1,112408,88654,87448,1206,87570,1069,0,87448,22692,2268,22474,0
1,native,lazy,after_equal_work,worker,3,1,112380,88660,87456,1204,87570,1076,8,87448,22656,2268,22472,0
1,native,lazy,after_equal_work,worker,4,1,112232,88642,87448,1194,87570,1057,0,87448,22516,2268,22475,0
1,native,lazy,after_equal_work,worker,5,1,112396,88653,87448,1205,87570,1068,0,87448,22680,2268,22473,0
1,native,lazy,after_equal_work,worker,6,1,112404,88653,87448,1205,87570,1068,0,87448,22688,2268,22469,0
1,native,lazy,after_equal_work,worker,7,1,112352,88650,87448,1202,87570,1065,0,87448,22636,2268,22475,0
1,native,lazy,after_equal_work,worker,8,1,112408,88654,87448,1206,87570,1069,0,87448,22692,2268,22468,0
1,native,lazy,after_equal_work,worker,9,1,112408,88654,87448,1206,87570,1069,0,87448,22692,2268,22468,0
1,native,lazy,after_equal_work,worker,10,1,112404,88653,87448,1205,87570,1068,0,87448,22688,2268,22469,0
1,native,lazy,after_equal_work,worker,11,1,112268,88646,87448,1198,87570,1061,0,87448,22552,2268,22478,0
1,native,lazy,after_equal_work,worker,12,1,112396,88653,87448,1205,87570,1068,0,87448,22680,2268,22475,0
1,native,lazy,after_equal_work,worker,13,1,112408,88654,87448,1206,87570,1069,0,87448,22692,2268,22468,0
1,native,lazy,after_equal_work,worker,14,1,112288,88645,87448,1197,87570,1061,0,87448,22572,2268,22477,0
1,native,lazy,after_equal_work,worker,15,1,112412,88658,87452,1206,87574,1069,0,87452,22692,2268,22469,0
1,native,lazy,after_equal_work,worker,16,1,112404,88653,87448,1205,87570,1068,0,87448,22688,2268,22468,0
1,native,lazy,settled,master,0,1,21060,8864,8036,828,5242,1743,1112,6924,10636,2388,2897,0
1,native,lazy,settled,worker,1,1,112228,88665,87472,1193,87570,1080,24,87448,22488,2268,22479,0
1,native,lazy,settled,worker,2,1,112408,88653,87448,1205,87570,1068,0,87448,22692,2268,22474,0
1,native,lazy,settled,worker,3,1,112380,88660,87456,1204,87570,1075,8,87448,22656,2268,22472,0
1,native,lazy,settled,worker,4,1,112232,88642,87448,1194,87570,1057,0,87448,22516,2268,22475,0
1,native,lazy,settled,worker,5,1,112396,88653,87448,1205,87570,1068,0,87448,22680,2268,22473,0
1,native,lazy,settled,worker,6,1,112404,88653,87448,1205,87570,1068,0,87448,22688,2268,22469,0
1,native,lazy,settled,worker,7,1,112352,88650,87448,1202,87570,1065,0,87448,22636,2268,22475,0
1,native,lazy,settled,worker,8,1,112408,88653,87448,1205,87570,1068,0,87448,22692,2268,22468,0
1,native,lazy,settled,worker,9,1,112408,88653,87448,1205,87570,1068,0,87448,22692,2268,22468,0
1,native,lazy,settled,worker,10,1,112404,88653,87448,1205,87570,1068,0,87448,22688,2268,22469,0
1,native,lazy,settled,worker,11,1,112268,88646,87448,1198,87570,1061,0,87448,22552,2268,22478,0
1,native,lazy,settled,worker,12,1,112396,88653,87448,1205,87570,1068,0,87448,22680,2268,22475,0
1,native,lazy,settled,worker,13,1,112408,88653,87448,1205,87570,1068,0,87448,22692,2268,22468,0
1,native,lazy,settled,worker,14,1,112288,88645,87448,1197,87570,1060,0,87448,22572,2268,22477,0
1,native,lazy,settled,worker,15,1,112412,88657,87452,1205,87574,1068,0,87452,22692,2268,22469,0
