repeat,variant,fork_mode,stage,group,processes,rss_kb,pss_kb,uss_kb,proportional_shared_kb,pss_anon_kb,pss_file_kb,private_clean_kb,private_dirty_kb,shared_clean_kb,shared_dirty_kb,minor_faults,major_faults
2,native,preload,warmed,workers,16,1004224,489639,460440,29199,474632,14280,64,460376,297564,246220,121421,0
2,native,preload,after_equal_work,all,17,1787636,1242406,1210740,31666,1222640,17640,2420,1208320,314236,262660,313602,0
2,native,preload,after_equal_work,master,1,53272,22627,20160,2467,17868,3360,2356,17804,16672,16440,9646,0
2,native,preload,after_equal_work,workers,16,1734364,1219779,1190580,29199,1204772,14280,64,1190516,297564,246220,303956,0
2,native,preload,settled,all,17,1787636,1242408,1210740,31668,1222640,17642,2420,1208320,314236,262660,313602,0
2,native,preload,settled,master,1,53272,22629,20160,2469,17868,3362,2356,17804,16672,16440,9646,0
2,native,preload,settled,workers,16,1734364,1219779,1190580,29199,1204772,14280,64,1190516,297564,246220,303956,0
2,stock,preload,forked,all,17,594856,52756,19032,33724,40951,9749,4160,14872,98484,477340,13294,0
2,stock,preload,forked,master,1,47016,9758,6804,2954,2417,5429,4160,2644,12084,28128,8766,0
2,stock,preload,forked,workers,16,547840,42998,12228,30770,38534,4320,0,12228,86400,449212,4528,0
2,stock,preload,warmed,all,17,972740,506785,479820,26965,488768,15896,2004,477816,287236,205684,129788,3
2,stock,preload,warmed,master,1,47016,21870,19704,2166,17557,2914,2004,17700,14240,13072,8766,0
2,stock,preload,warmed,workers,16,925724,484915,460116,24799,471211,12982,0,460116,272996,192612,121022,3
2,stock,preload,after_equal_work,all,17,1703588,1237755,1210812,26943,1219736,15892,2004,1208808,287284,205492,312533,3
2,stock,preload,after_equal_work,master,1,47016,21882,19724,2158,17572,2911,2004,17720,14240,13052,8766,0
2,stock,preload,after_equal_work,workers,16,1656572,1215873,1191088,24785,1202164,12981,0,1191088,273044,192440,303767,3
2,stock,preload,settled,all,17,1703588,1237757,1210812,26945,1219736,15894,2004,1208808,287284,205492,312533,3
2,stock,preload,settled,master,1,47016,21885,19724,2161,17572,2914,2004,17720,14240,13052,8766,0
2,stock,preload,settled,workers,16,1656572,1215872,1191088,24784,1202164,12980,0,1191088,273044,192440,303767,3
2,native,lazy,forked,all,17,800588,503443,487652,15791,487002,14386,1052,486600,273104,39832,130069,0
2,native,lazy,forked,master,1,20912,8760,7908,852,5178,1703,1052,6856,10548,2456,2902,0
2,native,lazy,forked,workers,16,779676,494683,479744,14939,481824,12683,0,479744,262556,37376,127167,0
2,native,lazy,warmed,all,17,1086376,697017,677076,19941,676310,18586,1036,676040,370556,38744,179969,0
2,native,lazy,warmed,master,1,20912,8762,7956,806,5238,1644,1036,6920,10564,2392,2902,0
2,native,lazy,warmed,workers,16,1065464,688255,669120,19135,671072,16942,0,669120,359992,36352,177067,0
2,native,lazy,after_equal_work,all,17,1817448,1427132,1407124,20008,1406358,18651,1036,1406088,371580,38744,362497,0
2,native,lazy,after_equal_work,master,1,20912,8762,7956,806,5238,1645,1036,6920,10564,2392,2902,0
2,native,lazy,after_equal_work,workers,16,1796536,1418370,1399168,19202,1401120,17006,0,1399168,361016,36352,359595,0
2,native,lazy,settled,all,17,1817448,1427129,1407124,20005,1406358,18651,1036,1406088,371580,38744,362497,0
2,native,lazy,settled,master,1,20912,8762,7956,806,5238,1645,1036,6920,10564,2392,2902,0
2,native,lazy,settled,workers,16,1796536,1418367,1399168,19199,1401120,17006,0,1399168,361016,36352,359595,0
2,stock,lazy,forked,all,17,692584,453075,439964,13111,438639,12381,1064,438900,224008,28612,118838,0
2,stock,lazy,forked,master,1,17620,6234,5404,830,2623,1732,1064,4340,10420,1796,2003,0
2,stock,lazy,forked,workers,16,674964,446841,434560,12281,436016,10649,0,434560,213588,26816,116835,0
2,stock,lazy,warmed,all,17,980292,648572,631324,17248,629947,16492,984,630340,321308,27660,169289,0
2,stock,lazy,warmed,master,1,17620,6165,5380,785,2675,1610,984,4396,10500,1740,2003,0
