repeat,variant,workload,operations,warmup,wall_us_per_operation,worker_cpu_us_per_operation,worker_user_us_per_operation,worker_system_us_per_operation,voluntary_context_switches_per_operation,involuntary_context_switches_per_operation,minor_faults_per_operation,major_faults_per_operation,result_type,result_size
1,stock,raw_update,19300,500,259.6530014507772,65.30541088082902,51.72880829015544,13.577305699481863,1.0,0.0015544041450777201,0.0,0.0,int,
2,native,orm_get,35800,500,139.7948945810056,90.48108460893854,74.93991620111731,15.541396648044694,1.0,0.0006983240223463687,0.0,0.0,tuple,2
2,native,orm_in32,25400,500,196.93634503937008,114.1035631496063,96.7374409448819,17.366456692913385,1.0,0.0009448818897637795,7.874015748031496e-05,0.0,list,32
2,native,orm_update,17900,500,280.3829225139665,88.09728575418994,71.30463687150838,16.793184357541897,1.0,0.002011173184357542,0.0,0.0,int,
2,native,raw_get,43700,500,114.45246244851258,65.67875260869565,49.89160183066362,15.78732265446224,0.999954233409611,0.0009153318077803204,0.0,0.0,tuple,2
2,native,raw_in32,30700,500,163.0673489576547,80.40935671009773,65.91530944625407,14.4942996742671,1.0,0.0011726384364820848,0.0,0.0,list,32
2,native,raw_update,19300,500,259.38019310880827,64.48270984455958,49.89378238341968,14.589326424870466,1.0,0.0017098445595854922,0.0,0.0,int,
2,stock,orm_get,19800,500,253.04148949494953,205.2417785353535,184.43186868686868,20.810202020202023,1.0,0.00196969696969697,0.00015151515151515152,0.0,tuple,2
2,stock,orm_in32,13800,500,362.7471860869565,280.3447184782609,262.7860144927537,17.55913043478261,1.0,0.002536231884057971,0.0002173913043478261,0.0,list,32
2,stock,orm_update,14400,500,347.40582541666674,154.3147295138889,138.55652777777777,15.758819444444443,0.9999305555555555,0.001388888888888889,0.0,0.0,int,
2,stock,raw_get,44300,500,112.96515656884876,64.98960979683973,49.07984198645599,15.909909706546275,0.9998645598194131,0.000744920993227991,0.0,0.0,tuple,2
2,stock,raw_in32,31300,500,160.15754115015972,78.80009977635783,63.81971246006389,14.980607028753994,1.0,0.0007028753993610224,0.0,0.0,list,32
2,stock,raw_update,19200,500,260.95479489583334,65.96919578125,54.40802083333333,11.561666666666666,1.0,0.0011458333333333333,0.0,0.0,int,
3,native,orm_get,36900,500,135.63983417344173,88.08291013550136,72.20761517615176,15.875528455284554,0.9999728997289973,0.0007859078590785908,0.0,0.0,tuple,2
3,native,orm_in32,25900,500,193.59448664092662,112.69797312741314,96.14629343629343,16.55200772200772,1.0,0.0012355212355212356,7.722007722007723e-05,0.0,list,32
3,native,orm_update,17700,500,282.77213898305087,88.31317429378531,70.55440677966101,17.75926553672316,1.0,0.002598870056497175,0.0,0.0,int,
3,native,raw_get,44600,500,112.3321430044843,64.60015067264574,47.137107623318386,17.46322869955157,1.0,0.0004484304932735426,0.0,0.0,tuple,2
3,native,raw_in32,31300,500,159.7498852715655,78.41658916932907,62.49405750798722,15.922779552715651,0.9999680511182109,0.0005111821086261981,0.0,0.0,list,32
3,native,raw_update,19000,500,263.9387696315789,68.31079768421051,53.36615789473684,14.945052631578948,1.0,0.0011578947368421054,0.0,0.0,int,
3,stock,orm_get,19700,500,254.8341096446701,206.42451746192893,185.2127411167513,21.212233502538073,0.9998477157360406,0.0017258883248730964,5.076142131979695e-05,0.0,tuple,2
3,stock,orm_in32,13900,500,360.3530789208633,276.86676748201444,260.68553956834535,16.181798561151076,1.0,0.002517985611510791,0.0004316546762589928,0.0,list,32
3,stock,orm_update,14400,500,349.2630195138889,157.29939215277778,140.96034722222225,16.339513888888888,1.0,0.0021527777777777778,0.0,0.0,int,
3,stock,raw_get,44100,500,113.54609503401362,65.44410637188209,50.622675736961455,14.821609977324261,0.9999773242630385,0.0005668934240362812,0.0,0.0,tuple,2
3,stock,raw_in32,30700,500,162.94345006514658,80.55375289902278,66.55140065146578,14.002605863192182,1.0,0.0004234527687296417,0.0,0.0,list,32
3,stock,raw_update,19300,500,259.0705881347151,64.88383668393783,50.09880829015544,14.78544041450777,1.0,0.0017098445595854922,0.0,0.0,int,
